Date,Financials,Consumer Staples,Industrials,Basic Materials,Consumer Discretionary,Energy,Health Care,Utilities,Telecommunications,Technology,Real Estate
2019-07-04,23.685076796160924,23.547495222429653,27.709918578007567,18.73829382035374,24.549963843011703,29.03189220115504,26.564667395272284,40.670943442184594,18.241928944574806,9.192899225000046,39.65282633445503
2019-07-11,24.19694754965599,24.2575461928223,28.795721543101916,18.466419635817598,24.991218797888113,29.887382003364326,26.998212001486195,43.564592548296496,18.438018009599734,9.458079009999988,40.09100352769632
2019-07-18,24.24695224276335,24.478835860772257,29.477436085320367,18.628209346538377,24.7867963895169,31.072655214861786,27.26844461255935,45.43133132122985,18.97923967829298,9.953081276,40.91737522926812
2019-07-25,23.548863952510327,23.730903732252496,28.759231094292588,19.06453123700126,24.176076762385595,30.094407767730477,26.832659363020156,45.19321816609707,21.034388049830536,10.059153189999984,39.833787566386995
2019-08-01,23.155267662437364,23.71310709720826,29.696042075514026,21.780280061438777,23.48127861148148,30.094407767730477,26.33733369809894,45.19321816609707,20.31522444119636,9.776294753000016,38.183459210977844
2019-08-08,22.281489072833047,24.17157574614208,27.680959563018348,21.507799266850466,23.588238107064246,30.094407767730477,27.014496377181082,45.19321816609707,20.58749409994489,9.334328443999972,38.25880731832327
2019-08-22,22.281489072833047,24.17157574614208,27.680959563018348,21.507799266850466,23.588238107064246,30.094407767730477,27.014496377181082,45.19321816609707,20.58749409994489,9.334328443999972,38.25880731832327
2019-08-29,21.99333538407542,24.128172240741584,27.474925697288093,21.219898800328224,23.834656873040508,30.094407767730477,27.451984223172186,45.19321816609707,20.138310784550377,9.281292486999957,37.711613601972246
2019-09-05,20.326045995183755,23.27269691363161,26.93590288984091,20.527075683331653,22.30566370316211,30.094407767730477,26.721838485275992,45.19321816609707,18.748455247824865,8.72441493799998,36.98020113641145
2019-09-12,20.256173682014047,23.071557958051518,26.834214801711173,20.589572919223148,22.709822142312223,30.094407767730477,26.793533945350475,45.19321816609707,19.40768878831056,8.980755396999978,37.090246777625865
2019-09-19,19.599130579251607,23.14933014035025,26.099876181905696,19.720193289086257,22.85290974021887,30.094407767730477,26.72605481844611,45.19321816609707,18.841948187090097,8.689057633000006,36.907324041221656
2019-09-26,20.069771927478847,23.76877208866339,26.1458995882764,19.609689867545757,22.471786116896773,30.094407767730477,27.012812912081003,45.19321816609707,19.54169712139372,8.194055367000006,36.45656291913131
2019-10-03,20.22227672751963,23.63558375484551,27.39812916537109,19.963942534547165,21.814472846404502,30.094407767730477,26.935414910992982,45.19321816609707,19.84005729463572,8.627182350000057,36.95863007016425
2019-10-10,19.75562604338301,23.325828069391754,27.473576231584392,19.52359736057342,21.461842772090705,30.094407767730477,26.78046416853687,45.19321816609707,19.412914333503185,9.069148658999948,38.63688367670786
