Date,.DFMGI,.EGX30,.FTFADGI,.MSX30,.QSI,.SPX,.TASI,FR MENA
2020-01-03,12.952761596188628,8.487485773589947,5.950584427182242,10.48397143085051,5.064309433848489,2.528795832392631,3.8004029462060327,5.1446589242731795
2020-01-10,12.979435469112294,8.418859648116195,5.944922066274288,10.498759975545694,5.067787609515082,2.448318543296365,3.7889267683149415,5.142238478280716
2020-01-17,12.518545038553622,8.345562455714553,5.763524366568012,10.150578951405667,4.9378927160248,2.3653923166423745,3.725999155840329,5.0243456870149155
2020-01-24,12.580391904090309,8.57148954143037,5.791853527760924,10.390399397445663,5.146148243461404,2.5641939426864058,3.9007806842483586,5.1832955074240274
2020-01-31,12.906226836692007,8.128052921802919,6.0721699511128655,10.284421103572658,5.4645620915489115,2.8825769970064874,3.981277764027083,5.306132595263494
2020-02-07,12.947771271164408,8.23745767760488,6.138781473637104,10.086439781660406,5.548516689028913,2.681907505046806,4.002588081330308,5.345662095863641
2020-02-14,12.760272754925762,8.436298900534897,6.286226554096723,10.102204894221181,5.6613973938416375,2.6173046553984127,4.091465721300666,5.481505968783889
2020-02-21,12.89245080860598,8.687739537274332,6.392908615703486,10.000191838958507,5.622948120049567,2.785081950750831,4.112104665578901,5.487102505948323
2020-02-28,14.051754269122831,9.693489796139174,6.9423225553991195,10.422971102164508,6.30095956614673,3.703886565284128,4.6443304610551746,6.1108168716253815
2020-03-06,15.262236862108834,10.829314009238281,7.82230840955692,11.199207658549014,6.864168988491824,4.09019843611331,5.163439402389269,6.730349626087247
2020-03-13,18.693214614384118,11.76843588846495,9.180772200725244,11.906545390008901,7.573504613379995,4.28453677190887,5.924416423457326,7.7440498102520445
2020-03-20,21.08789805092828,14.467400825421375,9.811590440604212,12.514522684316375,7.244830621134125,5.2214901420440025,5.977787151435684,7.997248931567609
2020-03-27,21.506158532379544,13.495071156910294,9.758249056635478,12.884527233204544,7.5328233221016845,4.840991563870244,6.048836817718979,8.04781938789595
2020-04-03,23.110995971000687,14.347832136893077,9.930251281770767,13.751844589701266,7.581849188185277,5.132743598370219,5.79005628241358,8.028873987722976
2020-04-09,21.610495120349814,12.990756154284961,8.848980786256071,13.140127282052706,7.0881325535697,4.382191868614019,5.427271096150617,7.566684950400509
2020-04-17,21.328641529427543,13.327667076854233,9.217900417764726,12.933116748178717,7.509091620493073,4.22759225325528,5.855323843295876,7.92444293962543
2020-04-24,20.76157275457159,13.459386656659232,9.240333251036011,13.199862620800022,7.458039382641772,4.32391606623191,5.91861553996391,7.974265463972747
2020-05-01,19.07737120120197,12.815328310010763,8.566407659731171,12.540787683871988,6.879910843937034,4.236255270012883,5.419621831120764,7.363438277083836
2020-05-08,20.019805054308563,13.18951046252604,8.649194655851105,12.343123281141327,6.743775883139967,3.975822454452784,5.626616131097493,7.517179512257509
2020-05-15,20.415601526952223,12.840250085599587,8.56789964126023,12.16363828185417,6.839062364909436,4.093544070715361,5.487101825692531,7.468557366016225
2020-05-22,19.85268448106464,13.092034765366092,8.342880492834952,12.207005697067322,6.70705926141997,3.899909545308039,5.088427020608549,7.07973414430108
2020-05-29,19.604489462686082,12.975079786017018,8.329776829349274,11.705963382358572,6.72205926141997,3.9149095453080385,5.103433627199616,7.058694479555894
2020-06-05,18.520887325968328,12.075758621495359,7.668932159619181,11.484854196195819,6.159391932464413,3.5968986757665045,4.716995043649169,6.551343111084599
2020-06-12,18.217321759066593,12.032944193342212,7.884086855689128,11.716358294825032,6.379718893454664,4.0238579713813705,4.847967001648004,6.686606192092231
2020-06-19,18.420325623146617,11.911928883188748,7.788458506937225,11.720937974829754,6.313765336742473,3.9309318612927973,4.898411756803654,6.701949393788235
2020-06-26,18.388164781807944,11.91171254883407,7.969540894426789,11.722908872907606,6.477999328249664,4.104942027968181,5.035240628799299,6.8186155465960185
2020-07-02,18.591700861813237,11.959887572469718,7.943703921240931,11.884369178075312,6.424202720584531,3.882566102525362,4.947520441301069,6.781159002245335
2020-07-10,18.453082047249506,11.747880453932602,8.003294546007268,12.383087884625397,6.382584419228875,3.826593186990296,4.9061473701236125,6.740250143409715
2020-07-17,18.819685725398674,12.291546110506044,8.051741829759017,12.522800226193764,6.399436517652218,3.694750375863145,4.918890080607406,6.777635540533635
2020-07-24,17.052911536398796,12.330128837304244,8.151028719734374,12.249799880342385,6.23086818558771,3.6982840441435916,5.054621127911544,6.7481339687291335
2020-07-31,17.211866706421887,12.199024884238625,7.796805588979366,11.938551914095246,6.394996386178484,3.577047945388595,5.091085186754517,6.741379502969535
2020-08-07,16.464406253458485,12.080976257754886,7.627183235431647,11.228756518519742,6.337949354371738,3.4543045901140266,5.363855693562151,6.976766220597868
2020-08-14,14.301642545564803,11.710675747105594,7.267701649821203,11.024370880120149,6.051182524928173,3.27393075196936,4.888552749937728,6.498144875143422
2020-08-21,13.727692232538223,11.490548967993545,7.0777406159991845,11.027250029168126,6.018583146726541,3.306364175221726,4.915061772286909,6.758676968584478
2020-08-28,13.391225245833121,10.995154102281521,7.018217586803699,10.635437039882357,5.848727026959472,3.078912156036055,4.798500420090031,6.658139285988666
2020-09-04,13.34347817585911,11.243603602665678,6.998161077318163,10.622728163160646,5.887696106299993,3.1798502515386993,4.7535262394063444,6.640943774816491
2020-09-11,13.467675185164245,11.266216944690733,7.104390558226756,10.843089168660791,5.9917117257250005,3.068766263565034,4.763653541139102,6.682687858756639
