Date,Financials,Consumer Staples,Industrials,Basic Materials,Consumer Discretionary,Energy,Health Care,Utilities,Telecommunications,Technology,Real Estate
2019-12-05,2.2102285053176534,3.2955672467395076,2.2090805528182607,1.6451194546612438,4.196045466905103,2.2049676045733055,1.8831059298731023,1.1911498085904164,2.2879675299769926,3.541416771853791,1.2253811583843353
2019-12-12,2.229681738554247,3.2918701874442333,2.2833797473660877,1.6327566739016885,4.208454433080795,2.213850643266752,1.88423349259121,1.1919599525079303,2.3119869764786594,3.5658403357976156,1.2053003558205295
2019-12-19,2.2499138665915424,3.3164081104657996,2.3434547123172798,1.644062042407342,4.260461711934439,2.2090948535198116,1.9015182928377714,1.19053260880408,2.3885877405786435,3.4190254155128468,1.1924549821613937
2019-12-26,2.3720468164842763,3.4772798663256483,2.4195848766151675,1.6915158619568373,4.379807887938111,2.3395783514658928,1.932337753500182,1.1921203733573695,2.50873797421123,3.6337806558229326,1.2145493640570229
2020-01-02,2.3564264361983884,3.447270828898459,2.4275485439607296,1.7152325441297795,4.493446490338177,2.4742762124917737,1.9864802039238973,1.1939064181629542,2.491723771566592,3.6530553234869876,1.2331585847459163
2020-01-09,2.355580366789605,3.44116947074009,2.479419293066912,1.720896465760884,4.6661402206066445,2.4947278943442455,1.984127272776287,1.1980088586090571,2.5311629598078627,3.703450419917065,1.251204684218089
2020-01-16,2.355754414679572,3.443425794411661,2.472261212490042,1.701813928230502,4.606518068443506,2.434912781178832,1.9576106512820586,1.196577978019504,2.4758897268874036,3.8251342429548223,1.236399839166941
2020-01-23,2.376839500670735,3.504757949030606,2.5173672827855094,1.7183746773496458,4.722690319201475,2.46480964950944,1.9895032542690951,1.1996047314407057,2.4836549665914474,3.7963455740412564,1.2328138110455147
2020-01-30,2.357019796561271,3.338504132406814,2.553530124167286,1.7001188392394366,4.717993589712224,2.478123521967715,2.013353098861243,1.199611607494694,2.4742917646131772,3.780271253370112,1.2298244648838104
2020-02-06,2.269460977380022,3.3149652697680763,2.5070590958422647,1.6244330603351784,4.658978132566315,2.433981578011483,1.9974000378327899,1.198784663520067,2.425425404286317,3.775698791227904,1.2340707954042707
2020-02-13,2.175343905470827,3.3366182730990706,2.4226355785886793,1.5956144797268361,4.629965451581385,2.3583546806178437,2.0195667140327216,1.200006192881205,2.323072125513283,3.9386544007607913,1.2372858890290694
2020-02-20,2.1014361184690826,3.334069710429153,2.346095416319037,1.5540295664648518,4.579211747887742,2.187232504751843,2.014311152414663,1.195784774680399,2.256310809319693,3.8582028668423725,1.2025678244885616
2020-02-27,2.133744864819935,3.353465421643395,2.342210675934037,1.5789615253761349,4.618810335977769,2.247492419543955,2.066604986490747,1.199220387042967,2.33137772362391,4.0876596920660795,1.2234849902230727
2020-03-05,1.8758737823782328,3.2172156448303286,2.1909769216766795,1.5025162645033818,4.302668857025453,2.114918860629469,2.0308995712984994,1.1969694489370504,2.1617935101590318,4.154885990495901,1.1893296205681956
