Date,Financials,Consumer Staples,Industrials,Basic Materials,Consumer Discretionary,Energy,Health Care,Utilities,Telecommunications,Technology,Real Estate
2019-07-02,2.2045791373126886,3.4437244985668576,0.24389551346023555,2.064327165774799,3.930887254436251,2.4123633195448475,2.1577382999217716,1.2203836828152688,2.4933094849628814,4.233191967982005,1.0301461725532788
2019-07-04,2.2045791373126886,3.4437244985668576,0.24389551346023555,2.064327165774799,3.930887254436251,2.4123633195448475,2.1577382999217716,1.2203836828152688,2.4933094849628814,4.233191967982005,1.0301461725532788
2019-07-05,2.2045791373126886,3.453468851510628,0.24389551346023555,2.0403817681251075,3.930887254436251,2.4123633195448475,2.1149190001804,1.2591950322677525,2.6009188326872197,3.7318400912349343,0.9946551602493265
2019-07-10,2.2045791373126886,3.453468851510628,1.5905944615012793,2.0164363704754167,3.930887254436251,2.4123633195448475,2.0720997004390287,1.2591950322677525,2.6009170762376788,3.230488214487863,0.9591641479453743
2019-07-11,2.2485829138402758,3.484769352486106,1.5888789857665946,2.0267245828908056,3.998332693078525,2.4290427341984198,2.0822119694117003,1.3151057870498137,2.641648479373456,3.4118604904287624,1.0080026553415125
2019-07-12,2.2485829138402758,3.492363911096064,1.5888789857665946,2.013465402437914,3.998332693078525,2.4290427341984198,2.0905502034514734,1.315740421559562,2.643966999631981,3.436988450218739,1.022984423182514
2019-07-16,2.2485829138402758,3.492363911096064,1.5891545478701112,1.9899180095696338,3.998332693078525,2.4290427341984198,2.098888437491246,1.315740421559562,2.643966999631981,3.2807441340678163,0.9891276836273772
2019-07-18,2.2608013801232802,3.5227703586146824,1.6101280307004413,2.019159445387137,3.967199483198457,2.4230979125868513,2.106622209271094,1.348244255003958,2.7238040152110106,3.503634542852188,1.0326955605624315
2019-07-19,2.2608013801232802,3.550392323310031,1.6234120187232817,2.0234306384460927,3.967199483198457,2.4230979125868513,2.1141592840876986,1.3465574108981526,2.726083647960976,3.545893732309808,1.0429445794822088
2019-07-21,2.2608013801232802,3.550392323310031,1.6234120187232817,1.998460395687546,3.9697867490054186,2.4230979125868513,2.121696358904303,1.3465574108981526,2.726083647960976,3.365262512983056,1.0096257214669315
2019-07-25,2.2351715440774536,3.466202779725644,1.5827015426404851,2.004867711521281,3.8755129742054173,2.4391413871168286,2.1089287323350026,1.3356589329686037,2.713003748907214,3.556775841159091,1.0480595350508566
2019-07-26,2.2351715440774536,3.48590678377247,1.586087969129434,1.9895779269605858,3.8755129742054173,2.4391413871168286,2.0961835258359756,1.3372173398904885,2.7140856118800603,3.5692276671810053,1.0582856309323287
2019-07-31,2.2351715440774536,3.48590678377247,1.586087969129434,1.9678808265661558,3.8755129742054173,2.4391413871168286,2.0834383193369486,1.3372173398904885,2.7140856118800603,3.3901661650268844,1.030077913229876
2019-08-01,2.204573805456574,3.495068317457476,1.5702881761319243,1.9635992432539269,3.8331584546836486,2.362033380302864,2.0728267755615732,1.2839594450591993,2.6687444735239456,3.532783015574502,1.0555556708830354
2019-08-02,2.204573805456574,3.4975570574313295,1.570646938669619,1.9387552065756424,3.8331584546836486,2.362033380302864,2.0637055816143905,1.283085647334798,2.6708036331002463,3.5043842815576984,1.0567251232132517
2019-08-05,2.204573805456574,3.4975570574313295,1.570646938669619,1.9181927532095866,3.8409202521045347,2.362033380302864,2.0545843876672074,1.283085647334798,2.6708036331002463,3.3333686969932774,1.0324168178903086
2019-08-07,2.204573805456574,3.4975570574313295,1.570646938669619,1.9181927532095866,3.8409202521045347,2.362033380302864,2.011307125928159,1.283085647334798,2.6708036331002463,3.3333686969932774,1.0324168178903086
2019-08-08,2.1525653270385714,3.5167960035629977,1.558866425688589,1.9151757228707282,3.8882479326691,2.410679546093096,2.065073584400162,1.2741771672921425,2.66596574614042,3.444154607697956,1.0505594510265412
2019-08-09,2.1525653270385714,3.5181904777745676,1.5732190727912165,1.8902775347045448,3.8882479326691,2.410679546093096,2.074416148896464,1.2743134050550788,2.6654475491130327,3.408201993776828,1.0425914449034788
2019-08-14,2.1525653270385714,3.5181904777745676,1.573222174764142,1.8683963768772198,3.8882479326691,2.410679546093096,2.0837587133927653,1.2743134050550788,2.6654475491130327,3.2614634691510207,1.0164808056441834
2019-08-15,2.1445498205808953,3.5181904777745676,1.5731779897701965,1.8652218840831418,3.8830734010551757,2.4327604569825145,2.039334819417064,1.275965478349736,2.646007983827541,3.2614634691510207,1.010288423429146
2019-08-16,2.1445498205808953,3.518052060892815,1.5731779897701965,1.862047391289064,3.8830734010551757,2.4327604569825145,2.039334819417064,1.2764466612781962,2.6458329429175476,3.265680200998796,1.0040960412141084
2019-08-20,2.1445498205808953,3.518052060892815,1.5731779897701965,1.862047391289064,3.8877304795077072,2.4327604569825145,2.039334819417064,1.2764466612781962,2.6458329429175476,3.269896932846571,1.0040960412141084
2019-08-21,2.1445498205808953,3.518052060892815,1.5736628919759088,1.862047391289064,3.8877304795077072,2.4327604569825145,2.039334819417064,1.2764466612781962,2.6458329429175476,3.269896932846571,1.0040960412141084
2019-08-22,2.1523137184892582,3.518052060892815,1.5965057727263303,1.8883588609193818,3.8877304795077072,2.3995097684851925,2.0837587133927653,1.2792567507456458,2.656129696496412,3.4195202724109377,1.0275041390543185
2019-08-23,2.1523137184892582,3.5205987621627584,1.593025717124642,1.8936543940150936,3.8877304795077072,2.3995097684851925,2.0837587133927653,1.2792567507456458,2.6581192879932356,3.413936580295392,1.0222551403520939
