Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
AMR,AMERICANA,Consumer Discretionary,7.0648050179719,3.11,5.44191384538785,3.01003344481605,-3.14465408805034,-6.85692539908147,0.28503559268227,15.2584945011702,1.83615,30.7888618213475,26.4639609741123,29.9515329739149
4210,SA RES & MEDIA,Consumer Discretionary,4.4224105762567305,208.0,4.410568673271429,4.32595573440644,-2.9934518241347,-31.5059445178335,21.0035005854899,5.33576542014821,,31.5728741210517,20.1931270335099,21.7611138126072
4190,JARIR MKTING C,Consumer Discretionary,4.03006556852711,12.72,8.845445468035011,-2.32558139534884,-3.66972477064219,-12.5873479498651,-16.7323028299886,8.84327919574922,6.50793650793651,16.0067075726971,15.1092920510473,15.5517849889337
AIRARABIA,AIR ARABIA,Consumer Discretionary,2.9227235595251098,2.31,2.81384206388104,0.877192982456143,-4.1666666666667,-17.562724014337,-12.6347139157491,1.56338677262598,8.69565217391304,7.41983353764759,7.34610939315075,7.57284116454429
4071,ALARABIA,Consumer Discretionary,3.12116850578389,230.0,5.98843529254965,3.99644760213147,9.95305164319245,-2.00836820083677,-2.82157676494713,9.64605955048819,0.982066609735269,35.5216079670325,25.5104688478373,29.3999042360844
1830,LEEJAM SPORTS ,Consumer Discretionary,3.15043445812677,225.8,11.37969183882,3.95584176632933,10.2402936868956,1.29126003345452,12.2934069392891,10.6114178903312,1.76991150442478,30.5275869428378,25.9579793180708,28.0932163751576
1810,SEERA,Consumer Discretionary,2.03102510794818,25.4,11.8569926093266,2.17216411906678,-0.78125,-11.8055555555556,-5.92592592272868,1.12399734184743,,30.5832490487887,21.2181704858164,26.2117118470531
4003,UNITED ELCTRON,Consumer Discretionary,2.04701743163282,95.2,8.57456434907519,2.3454157782516,5.03282275711161,1.47991543340376,9.27416660383433,6.24613682943492,3.64583333333333,19.2059922695881,14.8589266917399,16.0591383754264
ADAVIATION,AD AVIATION,Consumer Discretionary,1.99801393312275,6.68,0.10734598584628001,-2.33576642335764,1.36363636363639,2.39409233728616,0.615902602498886,0.720537053472806,3.73692077727952,5.45130089714234,NaN,NaN
4291,NCLE CO,Consumer Discretionary,1.79252625406472,159.8,1.39598212863003,2.35602094240839,2.62467191601052,2.22222222222217,32.3181049116922,9.60613805538787,1.05498721227621,59.2058691035459,45.5875916248347,51.6328263456365
4260,BUDGET SAUDI,Consumer Discretionary,1.6692510261740998,87.8,5.26217274275475,2.803738317757,14.2857142857143,5.6194989844278,12.8390596717984,3.24424278246793,1.70454545454546,22.5304224710241,17.9845097707778,19.2658430266476
