Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
7203,ELM,Technology,17.9966949197718,853.4,21.7499227420143,2.80146163215593,-1.30963517305892,-13.1687242798354,3.97669951016402,16.2094324613984,0.829383886255924,48.9769106362878,37.4536538477342,41.1707317073171
7202,SOLUTIONS,Technology,9.02606748760595,293.8,16.1935252269463,0.213068181818166,2.34526112185689,-23.4446587894864,-17.4918135054981,9.52517698140709,2.12615166548547,27.2728414879645,22.1319989386987,23.6904901583883
PRESIGHT,PRESIGHT AI HO,Technology,3.2530466180154702,2.08,2.84694183243738,-6.57894736842104,-10.8786610878661,15.1351351351352,-1.84331797312882,3.89884449352682,0.0,18.4511434511435,NaN,NaN
9526,JAHEZ,Technology,1.56882069486646,27.95,1.59350286848224,-12.888198757764,-5.0761421319797,-20.6506364922207,6.049149338617,5.01886238764869,,46.1568840400849,30.6565100430143,35.7017980516082
7200,MIS CO,Technology,1.3273628658243999,166.2,5.8656713699705305,1.840490797546,11.7092866756393,18.9111747851003,22.0588235303628,13.8898181652554,0.903614457831325,122.560782026387,NaN,NaN
7204,2P,Technology,1.1946265792419601,14.8,5.012124784012321,3.03448275862068,-1.3861386138614,-9.4545454545455,21.7603911980438,10.9057380949989,0.234270414993307,33.7573717152089,22.9778759265525,24.8926989204318
MEZA,MEEZA,Technology,0.623782944162437,3.524,0.624740991480313,-0.933257918552022,-6.23661670235547,9.50296967802435,25.7759514891589,3.35092822873825,2.28375677990294,37.2738880612896,30.4566786172953,35.0002035944574
2370,MESC,Technology,0.337438029745722,31.5,6.0976969027204,4.45544554455444,-0.314960629921302,13.4408602150537,41.6741271284045,3.13678928556031,,20.2678039690316,NaN,NaN
7201,ARAB SEA,Technology,0.19297403912788502,7.25,1.70515364950316,7.10059171597635,1.97183098591549,-6.70103092783506,3.13390313360642,6.03471830118346,,,NaN,NaN
