Date,Instrument,CF_NAME,1 Week Total Return,Company Market Cap,Return
2022-06-30,1120.SE,AL-RAJHI BANK,-0.602409638115176,87955435912.471,-0.00602409638115176
2022-07-06,1120.SE,,-1.09090909063569,86949572444.6575,-0.010909090906356899
2022-07-14,1120.SE,,-1.59313725471362,85566625819.1699,-0.0159313725471362
2022-07-21,1120.SE,,10.8343711085128,94743845642.0492,0.108343711085128
2022-07-28,1120.SE,,0.674157303983369,95425741519.7827,0.00674157303983369
2022-08-04,1120.SE,,-2.34375000023797,93184238551.6507,-0.0234375000023797
2022-08-11,1120.SE,,0.457142857391291,93610223642.1725,0.00457142857391291
2022-08-18,1120.SE,,3.4129692836073,96818000266.2761,0.034129692836073
2022-08-25,1120.SE,,1.2101210119092,97976570820.0213,0.012101210119092001
2022-09-01,1120.SE,,-3.36956521679612,94662584852.9216,-0.0336956521679612
2022-09-08,1120.SE,,-3.5995500564349,91211451986.2703,-0.035995500564349
2022-09-15,1120.SE,,2.21703617263416,93278317582.8563,0.0221703617263416
2022-09-21,1120.SE,,-3.53881278548083,89857769506.8456,-0.0353881278548083
2022-09-29,1120.SE,,-3.78698224825122,86535391165.5135,-0.0378698224825122
2022-10-06,1120.SE,,3.5670356704977,89622139435.8701,0.035670356704977
2022-10-13,1120.SE,,-3.4441805233883,86569945427.9249,-0.034441805233883
2022-10-20,1120.SE,,7.87207872107996,93397231096.9116,0.0787207872107996
2022-10-27,1120.SE,,-0.798175598871642,92676431424.7669,-0.00798175598871642
2022-11-03,1120.SE,,-3.10344827583861,89716642277.5043,-0.0310344827583861
2022-11-10,1120.SE,,-0.237247924524697,89491886139.9308,-0.00237247924524697
2022-11-17,1120.SE,,0.475624256904306,89941458222.4587,0.00475624256904306
2022-11-24,1120.SE,,-2.01183431989609,88148404439.358,-0.0201183431989609
2022-12-01,1120.SE,,-3.26086956585234,85235434956.1053,-0.0326086956585234
2022-12-08,1120.SE,,-6.36704119866017,79793600553.2356,-0.0636704119866017
2022-12-15,1120.SE,,-2.13333333193076,78085106382.9787,-0.0213333333193076
2022-12-22,1120.SE,,-0.272479564675443,77872340425.5319,-0.00272479564675443
2022-12-29,1120.SE,,2.7322404372075,80031927630.7037,0.027322404372075
