Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
2010,SA BASIC IND,Basic Materials,58.851751159443495,73.6,41.436824950020004,0.136054421768694,-3.41207349081365,-4.41558441558437,-10.0574361484535,1.32249029450626,4.48369565217391,193.059308029274,24.2405702815738,38.3487822347538
1211,MAADEN,Basic Materials,43.0008260676475,43.1,30.87630667881,-1.57657657657656,-8.28961175236096,-12.6,-9.98970133619816,3.40400811826626,0.0,75.3773178094006,40.7053103197742,50.4205558952822
BOROUGE,BOROUGE,Basic Materials,19.1523249929801,2.33,1.6256824660354798,-1.26582278481013,-0.425531914893618,-1.7699488105992,-2.1676413235405,4.60468139418968,6.76923076923077,17.9995901631778,16.1242766633985,17.7528780260293
IQCD,INDUSTRIES QAT,Basic Materials,21.2484565784058,12.8,8.674108730690081,4.66067048242029,10.4400345125109,6.84474123539247,4.30070065465635,2.11988264874334,6.09375,16.0176193813194,15.5029019993101,16.5256448903927
2020,SABIC AGRI-NUT,Basic Materials,14.1600047976971,112.8,21.208945334458797,1.45454545454544,1.45454545454546,-8.37438423645317,-17.3665854696357,2.86759852880399,5.37634408602151,15.0936659349755,15.3443993464362,16.9495113567938
2310,SIPCHEM,Basic Materials,5.6683900261208,29.15,17.801237416144698,-0.684931506849307,-6.14886731391586,-5.84415584415583,-14.8311306880509,1.3345409179134,4.31034482758621,23.9984773379896,13.1476611902338,17.1682945328106
FERTIGLB,FERTIGLB,Basic Materials,5.42509530552227,2.39,2.6849606377213,-1.63934426229509,-2.43902439024395,-11.1835720663018,-16.5663858797092,3.48544510462723,8.75,16.4656986976373,15.8402131173953,17.2880421205858
MPHC,MESAIEED PETRO,Basic Materials,5.66368405131019,1.646,4.55398881579092,-3.35294117647057,-4.4767441860465,-14.4270833333333,-3.82405964815463,1.2744129224179,5.23432744978698,20.4786239561261,NaN,NaN
2290,YANSAB,Basic Materials,5.47986966256197,36.9,7.97526540050647,0.550206327372749,-0.136612021857918,-0.814111261872508,-2.04630334155588,1.70873516010387,4.78796169630643,,37.8539506599037,57.9914978312044
ALBH,ALUMINIUM BAH,Basic Materials,4.49812962619054,1.19,0.192450042318917,-0.083682008368202,0.336134453781578,-2.92682926829253,5.62747896483242,0.941729389058004,2.44388609715243,17.7890345649583,5.38638516714034,7.57277858819052
2250,SAUDI IND INV ,Basic Materials,4.22485207100592,21.02,3.66624131088306,1.84287099903007,-2.32558139534884,-5.74506283662476,-5.4054054039305,1.57717896426282,4.76190476190476,41.5775718698028,21.9214976379321,34.6802319534614
JOPH,JOR PHOSPHATE ,Basic Materials,3.95021186440678,11.19,0.966816507976072,0.802854594112401,1.71017101710174,9.76788099905876,17.2637231992866,1.58278890035791,11.5044247787611,6.46712070050936,NaN,NaN
2350,SAUDI KAYAN,Basic Materials,3.23044938429554,8.16,4.570448020199329,0.873907615480629,-2.88461538461537,-9.51847704367303,-26.277372263601,0.950988396297544,,,-23.2883807412896,-11.0070006511474
MNG,MANAGEM,Basic Materials,2.9638973562013797,2479.0,0.41299013299013304,1.59785513005724,4.6919908933005,42.5833535063871,44.7789259179326,3.32448482352941,1.21016538926987,48.891374764714,20.7336369933667,25.3992460261808
2330,ADV PETROCHEM,Basic Materials,2.65419265419265,38.6,6.39030932219705,0.524934383202091,-1.79487179487182,-0.519480519480564,-2.04603580267958,3.0728192885366,4.30809399477807,141.621061973081,20.2643167913507,53.2655885258321
2060,NAT INDUSTRY,Basic Materials,2.02895711924943,11.4,4.4787233337776,-0.698080279232105,-4.36974789915966,-14.4360902255639,-8.07754442657088,0.798705797675627,,372.504091653028,14.030790519498,17.9052503834553
QAMC,QATAR ALUMINIU,Basic Materials,2.04096582795994,1.338,4.76831167387845,-1.18606375092662,-4.23850574712644,3.33333333333332,0.397022882604481,1.15308106709125,5.25131282820705,16.9463513857107,13.0887246331235,13.1099662930474
MFPC,MISR FERTILIZE,Basic Materials,1.9083923593618901,45.1,4.13773768990741,3.21079571893905,-8.02405142027782,-14.7451305022518,-28.3062941791487,2.01534105827425,4.50856627592426,9.51388263351821,2.8130026932218,3.00738438368188
ABUK,ABU QIR FRT&CH,Basic Materials,1.5135720150713798,58.96,2.1812241267708297,1.70175438596491,-11.3201774514303,-14.7374613913811,-30.9880952387008,2.1937528235595,8.62515094014145,5.29159451616643,7.09845738203957,7.16168074324324
1322,AMAK,Basic Materials,1.52566767951383,64.0,12.1099672442134,1.11287758346581,3.24675324675328,10.2253032928942,11.3640164129757,4.89151414287134,2.17508333333333,146.277513282274,38.6492163013214,42.1046098117045
1321,EAST PIPES,Basic Materials,1.33999680153526,162.0,9.02827577413479,0.125470514429127,3.63636363636368,22.2052067381317,95.8282208643581,5.90130509179603,0.93984962406015,18.7934731539475,NaN,NaN
BPCC,BOUBYAN PETROC,Basic Materials,1.1513194005023,593.0,2.54985120660995,0.456621004566227,0.303951367781141,8.55263157894735,12.8205128176582,1.33953682851317,9.09090909090909,19.915509957755,11.8616693815433,12.4853006562355
1320,SSP,Basic Materials,0.898528706221014,65.0,8.4475135234795,-0.98926591261923,-7.17743679308052,-8.32339436353636,84.1108691641636,4.29426294335571,1.11951588502269,15.0704389122837,13.8620974238093,14.5423896169232
1202,MEPCO,Basic Materials,0.937860919825151,40.45,3.23649872125224,-0.854700854700885,6.14379084967318,-7.72727272727274,17.6811594204197,2.1119937219771,2.15519581280788,,68.2134675541548,104.069264601852
