Date,Instrument,CF_NAME,1 Week Total Return,Company Market Cap,Return
2022-06-30,2280.SE,ALMARAI CO.,0.963391135595959,13966257096.4044,0.00963391135595959
2022-07-06,2280.SE,,-1.7175572512717,13719065505.2079,-0.017175572512716997
2022-07-14,2280.SE,,0.776699028514716,13825989663.8073,0.00776699028514716
2022-07-21,2280.SE,,-1.34874759117435,13626081170.9913,-0.0134874759117435
2022-07-28,2280.SE,,1.95312500097746,13898503647.6915,0.019531250009774598
2022-08-04,2280.SE,,2.29885057522812,14217252396.1661,0.022988505752281202
2022-08-11,2280.SE,,1.1235955053591,14376996805.1118,0.011235955053591
2022-08-18,2280.SE,,1.29629629633241,14565304220.4766,0.0129629629633241
2022-08-25,2280.SE,,-2.37659963356135,14217252396.1661,-0.023765996335613503
2022-09-01,2280.SE,,-2.24719101033965,13895913749.5008,-0.0224719101033965
2022-09-08,2280.SE,,-1.34099616873706,13703004017.7739,-0.0134099616873706
2022-09-15,2280.SE,,3.30097087385395,14162118993.7441,0.0330097087385395
2022-09-21,2280.SE,,1.50375939877898,14355975009.9694,0.0150375939877898
2022-09-29,2280.SE,,-1.48148148197083,14156466205.4284,-0.0148148148197083
2022-10-06,2280.SE,,4.13533834557753,14741883980.8408,0.0413533834557753
2022-10-13,2280.SE,,-1.26353790695424,14561426860.1091,-0.0126353790695424
2022-10-20,2280.SE,,2.55941499077639,14936102236.4217,0.025594149907763902
2022-10-27,2280.SE,,-2.85204991055742,14513981358.1891,-0.028520499105574203
2022-11-03,2280.SE,,1.65137614737994,14739922841.5591,0.0165137614737994
2022-11-10,2280.SE,,2.88808664248728,15163607342.3782,0.0288808664248728
2022-11-17,2280.SE,,-0.526315789239273,15087812666.3118,-0.00526315789239273
2022-11-24,2280.SE,,-1.58730158775987,14851089878.3701,-0.0158730158775987
2022-12-01,2280.SE,,-4.30107526869045,14205905826.0175,-0.043010752686904505
2022-12-08,2280.SE,,-1.12359550460989,14043673697.3694,-0.0112359550460989
2022-12-15,2280.SE,,1.70454545335521,14281914893.617,0.0170454545335521
