Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
TAQA,AD NATL ENERGY,Utilities,88.1741204661801,2.9,1.08177739631713,4.72727272727274,12.0622568093385,-13.0330015715034,-16.9979321557512,3.40348156939605,1.38888888888889,45.2830188679245,43.3111788361925,46.4554073496319
2082,ACWA POWER,Utilities,67.2071580621568,356.8,95.57340607460719,3.73719107896322,-28.2916666666667,0.546191683428265,34.3484911443162,12.1650734046926,0.130476988959907,148.652325445806,114.645947589888,146.327025605051
DEWA,DUBAI ELECTRIC,Utilities,30.3616163816578,2.23,3.35605079533638,-0.888888888888917,-3.04347826086958,-5.84982006646352,-6.99799299530234,1.28180177506899,5.56053811659193,14.6623709645605,15.2854604932461,15.828812831655
5110,SAUDI ELECTRIC,Utilities,18.146527783224098,16.36,8.50398184074519,-0.487210718635822,-6.09195402298849,-13.9539750389373,-10.5085072309315,0.264378200352011,4.28396572827417,25.1369146514061,14.6743638351947,17.3829787234043
QEWS,QA ELEC & WATE,Utilities,4.70846480998765,15.65,1.64681222101797,3.72340425531912,7.51206064782906,-4.29447852760747,-12.683179201602,1.19454044894671,5.51282051282051,11.4758198590534,11.7488590105898,12.1925161201811
2083,MARAFIQ,Utilities,3.97809051655206,60.0,8.2538097516549,2.57731958762888,-1.97044334975369,-17.0833333333333,-6.5045672353054,1.87085427154575,3.68509212730318,32.3142875700955,19.2446697554451,21.3975334928775
TQM,TAQA MAROCCO,Utilities,3.13765926075215,1320.0,0.258834761100386,1.16168587169452,-1.05515165653839,13.8281490606714,23.1413612554246,4.83672289520432,2.65151515151515,30.0133149979264,24.6743405200524,25.2692442524532
2080,NATL GAS & IND,Utilities,1.77714696945466,89.8,3.3804038132895,3.37209302325583,4.46533490011756,5.45670225385537,32.7191377291067,3.4408777724309,2.36220472440945,28.6231277447937,NaN,NaN
OQGN,OQ GAS NETWORK,Utilities,1.58630912820513,0.141,0.585620635291741,-0.704225352112675,-0.704225352112708,-0.009849305624021,0.033130209886933,0.990382434807523,7.20567375886525,10.5935386927122,10.4444444444444,11.75
AZNOULA,SHAMAL AZ ZOUR,Utilities,0.566880850647445,159.0,0.397662676901014,-0.628930817610052,0.636942675159258,-6.50887573964495,-8.67052023134232,1.33391581553445,3.16455696202532,13.4697357203751,NaN,NaN
JOEP,JOR ELECTRIC P,Utilities,0.292910824067797,2.25,0.40641807826520504,-1.73913043478261,8.13397129186604,20.6532553568395,27.5656814446467,1.50981008058512,7.52212389380531,12.8409090909091,NaN,NaN
SSPW,SEMBCORP SALAL,Utilities,0.243026137479542,0.105,0.0581078531122368,1.03092783505154,-3.92156862745098,-8.01053346924904,16.5913006038829,0.57104616062769,10.7142857142857,4.47284345047923,NaN,NaN
PHPC,PHOENIX POWER ,Utilities,0.224179684981685,0.06,0.0413422235210922,0.0,-1.1e-14,1.72413793103445,13.5439360951418,0.346273709814295,8.89830508474576,3.9202657807309,NaN,NaN
