Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
2280,ALMARAI CO.,Consumer Staples,14.9261687723226,56.4,11.1746177469753,2.00364298724953,6.06060606060603,-0.371233704567076,2.12841276258144,3.02455071788191,1.78571428571429,26.5870321750566,22.3142224882082,23.9051965930965
2050,SAVOLA GROUP,Consumer Staples,6.326418105975799,45.75,8.549966670368889,3.85514018691591,0.793650793650791,-19.1818181818182,18.6915887852412,2.80196187279265,0.0,27.6814238651862,22.4339581671555,24.3459634867147
4164,NAHDI,Consumer Staples,4.55301455301455,131.6,6.22991476594547,-0.45454545454543,-1.7937219730942,-14.2297650130548,-2.17444478652811,7.37248428052763,4.18569254185693,19.3843906972627,19.4119954853408,20.0167416021193
4001,A.OTHAIM MARKE,Consumer Staples,2.70590116743963,11.38,6.289783508818689,-2.92598967297762,-5.55666133010255,-14.7190747831524,-11.5059396901958,8.47885570325569,5.76241134751773,20.8375667337853,22.6421422435764,23.4564587061691
2270,SA DAIRY & FOO,Consumer Staples,3.02668052668053,348.4,3.1587951604543396,-0.342270393610966,3.92623438429507,-8.96913452945629,7.77646915878698,6.0972623723852,3.43445907269605,24.6342060121846,22.5824102171701,24.0948900075857
4161,BINDAWOOD,Consumer Staples,2.26053094514633,7.39,2.59042508789077,-3.76134889753565,3.74681152574399,-14.1364858947895,21.5128244847833,5.82244858017984,2.69541778975741,29.7884298847806,25.1306851540871,27.8206666051528
6010,NATL AGR DEV,Consumer Staples,2.57677967908737,31.85,11.219859128941,1.26382306477093,3.38709677419349,3.72168284789642,15.080789943677,2.617157052245,,18.6311212388969,21.9771177404369,23.4511623142383
GHITHA,GHITHA HOLDING,Consumer Staples,2.14074283847075,32.38,4.41009094504218,-2.4580335731415,-8.38963963963963,-14.5483193277311,-23.2184992908539,2.87322197629026,0.0,259.200254898837,NaN,NaN
4163,ALDAWAA,Consumer Staples,1.9823817900741,87.2,4.685408725398729,-0.568181818181834,-0.568181818181845,-10.3483606557378,-16.3978384155089,5.7273419748276,2.85714285714286,21.3539111823722,17.4106277896586,18.5853787357424
4162,ALMUNAJEM,Consumer Staples,1.66320166320166,104.6,6.16624724036311,-1.14068441064638,-2.55949866216024,-2.55949866216023,42.7893371024704,5.99118069399243,3.125,19.8514955429575,18.4007010765016,19.1992541241429
CSR,COSUMAR,Consumer Staples,1.85668435698738,195.0,0.227438889702841,1.24610591900314,-0.510204081632626,-1.76322418136016,2.093969e-09,3.07847693438867,5.12820512820513,18.2570252096749,19.3829531331352,20.0893470857866
LBV,LABEL VIE,Consumer Staples,1.2248195614494701,4400.0,0.793272665203469,-2.30280586339351,2.34944147644494,-5.52359248328154,2.34944147775367,3.8612188961021,2.30357142857143,23.9417531348733,19.4992310758171,20.5413492388334
2283,FIRST MILLS,Consumer Staples,1.05621301775148,71.0,5.59184766982096,0.990099009900991,-4.28954423592486,-17.2623399749085,-3.16058167741106,4.45270209628275,3.89355742296919,17.8012246444741,NaN,NaN
AGTHIA,AGTHIA GROUP,Consumer Staples,1.26515676522165,5.69,0.689814604808323,-1.75746924428821,-4.44444444444443,2.87434851481914,22.4795009981761,1.60575404887844,3.15188694454383,16.0190279688216,12.9343816394759,13.638880688225
EAST,EASTERN CO,Consumer Staples,1.1080074487895701,17.97,1.00062380550044,4.69208211143695,-6.56239811997049,-12.6783138793906,-15.4455504113818,4.4234151736243,15.6162394957983,7.04219795480369,5.32047385326609,7.03787957002911
SFBT,SOC FRIG ET BR,Consumer Staples,1.09986842105263,13.0,0.0819846459747972,-6.13138686131385,3.75391866465042,1.74901202378768,18.4211392951553,2.97594009558734,5.7542768273717,13.2611497808714,11.5955857973754,11.808501163627
2300,SAUDI PAPER,Consumer Staples,0.756853243776321,75.4,4.06805467590742,-1.92061459667094,6.98324022346364,8.58788019352583,91.2224000702226,5.5826094895687,,28.1102980572334,21.1248385243604,22.8589670599422
2281,TANMIAH,Consumer Staples,0.6492883415960341,121.0,3.18283314526042,1.33111480865225,0.569105691056904,-15.2739726027398,20.0970873787794,3.80756319284931,1.55993431855501,32.0913100526424,17.9947265433542,18.9959885000758
MEZZAN,MEZZAN HOLD CO,Consumer Staples,0.73924328908314,722.0,0.987225427789186,-7.73130544993664,-10.6748466257669,15.4610015051873,29.9187269102607,1.94019228141817,2.74725274725275,17.4915905814512,14.9445281009963,16.3718144926645
LES,LESIEUR CRISTA,Consumer Staples,0.768501023822,276.0,0.372089105447922,1.0909090909091,1.0909090909091,3.53817504655483,2.96296296278122,4.20877304635994,0.72463768115942,34760.7052896723,52.9829561109295,62.5675133399852
SBM,BOISSONS,Consumer Staples,0.712289208956427,2498.0,0.2597309889609,7.21030042918456,6.56748440748438,1.45419307643224,18.0410771024936,4.02678518732891,6.40512409927942,11.0921505495233,17.3453035904208,17.7143526029829
BLDN,BALADNA COMPAN,Consumer Staples,0.6806983125257241,1.31,2.9529185145973402,-0.911161731207288,-1.13636363636368,10.5932203389829,12.716351974109,1.09195438595862,5.32567049808429,17.9950358521787,12.374759343268,13.1872435425735
INVICTUS,INVICTUS INVES,Consumer Staples,0.6404531096830409,2.15,0.617968407097087,-4.97737556561085,-4.54545454545452,-17.1373448743351,-17.4572779035661,2.20379042201338,1.91428571428571,11.0080201289511,NaN,NaN
6001,HALWANI BROS,Consumer Staples,0.449055908963697,47.95,0.27405969760244103,-4.7,-4.02819738167172,-6.5686274509804,-6.56862745316853,6.91784938817793,,,47.8754052817734,-1190.90070638411
