Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
QHOLDING,Q HOLDING,Industrials,12.730816319703699,2.84,6.01366874797406,-1.71821305841925,4.00000000000003,-6.22950819672126,-8.62619808443521,1.42398714287625,0.0,42.8849902534113,NaN,NaN
ADNOCLS,ADNOC LOGISTIC,Industrials,8.36068235230367,4.14,4.63680893567033,1.21951219512197,-0.717703349282295,5.17267913340076,10.1155204485911,1.81765541765184,2.32530120481928,12.4991836376566,10.8221007815619,11.2436781403661
ADPORTS,ABU DHABI PORT,Industrials,7.12411502015031,5.11,2.3737528823488203,-1.34357005758156,-0.772200772200704,-12.4361158432708,-19.4357366781796,1.25391041134352,0.0,24.7925911634189,17.7247702721123,20.2913980422175
SALIK,SALIK COMPANY,Industrials,6.88242021566278,3.37,2.8745262433775998,2.12121212121212,0.597014925373074,-7.34924344690323,10.5255005819997,26.8928753830439,4.34406528189911,22.9783171962362,20.3334858631475,22.0279430184098
QGTS,QA GAS TRANSPO,Industrials,6.863572548772121,4.682,6.28542631278639,2.61363636363634,10.8247422680412,12.5935162094764,32.6683656430839,2.1114714823585,3.10077519379845,15.8110379604987,14.9523822070634,15.3592497501127
NMDC,NATL MARINE DR,Industrials,5.45896416512362,24.1,9.44206957702212,0.413223140495855,-7.39329268292679,-10.2658788774002,-16.1274452166469,2.35994371214382,3.08641975308642,8.04750345247833,NaN,NaN
4263,SAL,Industrials,6.36707713630791,297.6,60.070761185896004,3.68055555555555,12.568551605575,14.7168064072081,55.4186601085695,18.0726947819331,1.73141326188881,38.9170984996194,32.7877030755585,33.4503235809098
4030,BAHRI,Industrials,5.11629417879418,26.0,3.5242525737853,1.96078431372548,2.90288503027869,-0.003976128768723,20.3487957304082,1.56166075829983,2.11538461538462,12.1962088553858,NaN,NaN
4100,MAKKAH CONSTRU,Industrials,4.19091350711659,95.3,3.47693491492292,3.24675324675323,-1.24846306630093,-9.46237595144035,30.3839269638676,3.36861921724761,1.57232704402516,41.0636960769966,NaN,NaN
LHM,LAFARGEHOLCIM ,Industrials,4.554683981619569,1915.0,0.662898707061653,0.994764397905756,-0.285538461538493,1.49054609512622,3.86923076790835,3.94002423128425,3.42146189735614,29.0627949218303,25.2115367702256,25.8538370386571
EMPOWER,EMIRATES CENTR,Industrials,4.13898268162509,1.52,1.75335886306055,-0.65359477124185,3.40136054421767,-6.60886815326401,-6.04627097231204,5.26753352247937,5.59210526315789,16.0151722684649,15.5252777748764,16.0745009018859
4142,RIYADH CABLES,Industrials,4.05405405405405,101.2,8.45361715610052,1.39999999999998,-4.15879017013235,0.015888901499106,11.248774913741,6.23092897383698,2.465483234714,26.9581908767527,24.4566877712124,26.514313651104
QNNS,QATAR NAVIGATI,Industrials,3.58198267252024,11.5,3.65718488297435,0.877963125548731,7.38317757009348,4.45454545454551,22.5288470621562,0.795458834895823,3.26370757180157,12.6486129458388,9.65678684699288,10.2147345314858
6004,CATRION,Industrials,2.72327949251026,124.6,5.52058904142047,1.30081300813008,8.34782608695654,-7.32119692919895,-2.57949072838769,8.06347253180247,1.68539325842697,34.4290198505681,27.8278904076339,29.2008436840872
4031,SAUDI GR SERV ,Industrials,2.63574817420971,53.1,11.811475411317,4.57256461232602,2.73437499999998,2.734375,45.5048409427028,4.11578196443952,,40.7625542467452,30.3948986879237,32.7621026355813
EMSTEEL,EMSTEEL,Industrials,2.38753948371637,1.3,0.511019878871333,-1.53846153846153,-1.53846153846153,-11.1111111111111,-8.57142857180222,1.03632577128839,0.0,15.1694714387296,NaN,NaN
TABREED,TABREED,Industrials,2.3243061131685,3.08,0.184928148346961,-1.63934426229508,-5.6603773584906,-5.88267908627186,-12.1922201531642,1.42638906790105,5.16666666666667,27.7803500324104,13.7403531270754,14.2857142857143
NETW,NETWORK INTL,Industrials,2.6419184215179,391.4,14.3724817775832,0.102406554019452,-0.458248472505107,-0.559511698880955,0.307850181116498,4.01794418985076,,39.963204661197,17.1632655636745,20.3692006173639
CMA,CIMENTS MROC,Industrials,2.6184859526784603,1800.0,0.297868969096648,0.0,-2.65008112493242,4.89510489510483,7.142857146398,7.57858264685281,3.88888888888889,26.7498805915053,20.1708442348133,21.8352505020989
AGLTY,P WARE H-AGILI,Industrials,2.3480171878861,275.0,5.017790557022259,-6.59722222222223,-6.93114980971056,-14.5866297438813,1.69057441101756,0.724259740177499,7.43494423791822,7.89782736347622,8.05864001591729,8.99881468444097
DIC,DB INVST CO,Industrials,2.4314456836128997,2.08,0.720139160656911,-0.943396226415083,-1.86915887850466,-4.70331141473399,-4.70331141518266,0.657486390356628,5.95238095238095,9.53505266981475,8.57072840572269,8.74928524750858
ALANSARI,AL ANSARI FINA,Industrials,2.08310641542316,1.01,0.870850523049715,0.0,0.0,-1.9916142557652,-0.14239943015204,4.78076295902655,7.84313725490196,16.5961601041328,14.3673707002676,14.7838162278116
MSA,MARSA MAROC,Industrials,2.31496864041275,313.0,1.65969489618764,5.52933243425486,9.63222416812606,11.3879003558718,12.5899280560674,9.14112723266301,2.71565495207668,26.9561510405677,18.6207716138723,20.4828487752595
BAYANAT,BAYANAT AI CO,Industrials,1.64547901759068,2.3,2.54900437901785,-2.08333333333331,-9.61538461538463,-8.20312499999997,-29.429429429013,4.55958150388347,0.0,27.3733255678509,NaN,NaN
